,Unnamed: 0,BFS_NR,GEBIET_NAME,THEMA_NAME,SET_NAME,SUBSET_NAME,INDIKATOR_ID,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE,EINHEIT_KURZ,EINHEIT_LANG,Unnamed: 11
29,29.0,3251,Altstätten,Energie,Stromverbrauch,,575,Stromverbrauch Total [MWh/Energienutzer],2017,3.7,MWh/Energienutzer,Megawattstunden pro Energienutzer,
30,30.0,3251,Altstätten,Energie,Stromverbrauch,,576,Stromverbrauch Kleinverbraucher [MWh],2013,37367.0,MWh,Megawattstunden,
31,31.0,3251,Altstätten,Energie,Stromverbrauch,,576,Stromverbrauch Kleinverbraucher [MWh],2014,30709.0,MWh,Megawattstunden,
32,32.0,3251,Altstätten,Energie,Stromverbrauch,,576,Stromverbrauch Kleinverbraucher [MWh],2015,31071.0,MWh,Megawattstunden,
33,33.0,3251,Altstätten,Energie,Stromverbrauch,,576,Stromverbrauch Kleinverbraucher [MWh],2016,31756.0,MWh,Megawattstunden,
34,34.0,3251,Altstätten,Energie,Stromverbrauch,,576,Stromverbrauch Kleinverbraucher [MWh],2017,31434.0,MWh,Megawattstunden,
35,35.0,3251,Altstätten,Energie,Stromverbrauch,,577,Stromverbrauch mittelgrosse Verbraucher [MWh],2014,6639.0,MWh,Megawattstunden,
36,36.0,3251,Altstätten,Energie,Stromverbrauch,,577,Stromverbrauch mittelgrosse Verbraucher [MWh],2015,6643.0,MWh,Megawattstunden,
37,37.0,3251,Altstätten,Energie,Stromverbrauch,,577,Stromverbrauch mittelgrosse Verbraucher [MWh],2016,3716.0,MWh,Megawattstunden,
38,38.0,3251,Altstätten,Energie,Stromverbrauch,,577,Stromverbrauch mittelgrosse Verbraucher [MWh],2017,3684.0,MWh,Megawattstunden,
39,39.0,3251,Altstätten,Energie,Stromverbrauch,,578,Stromverbrauch Grossverbraucher [MWh],2014,37795.0,MWh,Megawattstunden,
40,40.0,3251,Altstätten,Energie,Stromverbrauch,,578,Stromverbrauch Grossverbraucher [MWh],2015,33459.0,MWh,Megawattstunden,
41,41.0,3251,Altstätten,Energie,Stromverbrauch,,578,Stromverbrauch Grossverbraucher [MWh],2016,36659.0,MWh,Megawattstunden,
42,42.0,3251,Altstätten,Energie,Stromverbrauch,,578,Stromverbrauch Grossverbraucher [MWh],2017,29508.0,MWh,Megawattstunden,
43,43.0,3251,Altstätten,Energie,Stromverbrauch,,579,Stromverbrauch Kleinverbraucher [%],2013,48.0,%,Prozent,
44,44.0,3251,Altstätten,Energie,Stromverbrauch,,579,Stromverbrauch Kleinverbraucher [%],2014,40.9,%,Prozent,
45,45.0,3251,Altstätten,Energie,Stromverbrauch,,579,Stromverbrauch Kleinverbraucher [%],2015,43.7,%,Prozent,
46,46.0,3251,Altstätten,Energie,Stromverbrauch,,579,Stromverbrauch Kleinverbraucher [%],2016,44.0,%,Prozent,
47,47.0,3251,Altstätten,Energie,Stromverbrauch,,579,Stromverbrauch Kleinverbraucher [%],2017,48.6,%,Prozent,
48,48.0,3251,Altstätten,Energie,Stromverbrauch,,580,Stromverbrauch mittelgrosse Verbraucher [%],2014,8.8,%,Prozent,
49,49.0,3251,Altstätten,Energie,Stromverbrauch,,580,Stromverbrauch mittelgrosse Verbraucher [%],2015,9.3,%,Prozent,
50,50.0,3251,Altstätten,Energie,Stromverbrauch,,580,Stromverbrauch mittelgrosse Verbraucher [%],2016,5.2,%,Prozent,
51,51.0,3251,Altstätten,Energie,Stromverbrauch,,580,Stromverbrauch mittelgrosse Verbraucher [%],2017,5.7,%,Prozent,
52,52.0,3251,Altstätten,Energie,Stromverbrauch,,581,Stromverbrauch Grossverbraucher [%],2014,50.3,%,Prozent,
53,53.0,3251,Altstätten,Energie,Stromverbrauch,,581,Stromverbrauch Grossverbraucher [%],2015,47.0,%,Prozent,
54,54.0,3251,Altstätten,Energie,Stromverbrauch,,581,Stromverbrauch Grossverbraucher [%],2016,50.8,%,Prozent,
55,55.0,3251,Altstätten,Energie,Stromverbrauch,,581,Stromverbrauch Grossverbraucher [%],2017,45.7,%,Prozent,
